test,type,ID,Title,Conditions,Age,All Conditions?,Tags,DIY Type,Issue,Service Type,Treatment Category,Published,Link
,condition,406,I canâ€™t get special education for my child,,"Under 11, 11-17, 18+",,Parent,,,,,publish,i-cant-get-special-education-my-child
,treatment,454,I can't afford mental health meds!,,"Under 11, 11-17, 18+",x,,,,,Medical,publish,i-cant-afford-mental-health-meds
,treatment,584,I can't afford therapy (Shape Magazine version),,"Under 11, 11-17, 18+",x,,,,,Therapy,draft,i-cant-afford-therapy-shape-magazine-version
,treatment,507,I can't afford therapy!,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,i-cant-afford-therapy
,condition,515,I can't deal with pressure and expectations!,"ADHD, Anxiety, Borderline, Depression, Eating Disorder, PTSD, Addiction","Under 11, 11-17, 18+",,"Youth, Workplace",,,,,publish,i-cant-deal-pressure-and-expectations
,treatment,244,I can't deal with the side effects of my medications,,"Under 11, 11-17, 18+",x,,,,,"Medical, Treatment Resistance",publish,i-cant-deal-side-effects-my-medications
,condition,514,I can't get motivated!,"ADHD, Depression","Under 11, 11-17, 18+",,Youth,,,,,publish,i-cant-get-motivated
,condition,212,I can't get out of bed,"Anxiety, Bipolar, Depression, Sleep, PTSD","Under 11, 11-17, 18+",,Youth,,,,,publish,i-cant-get-out-bed
,treatment,446,I can't sleep!,"Anxiety, Bipolar, Depression, Sleep, PTSD, Trauma","Under 11, 11-17, 18+",,Youth,,,,"Lifestyle Changes, Medication, Alternative Medicine, Medical",publish,i-cant-sleep
,condition,287,I can't stop having sex!,"Bipolar, Addiction","Under 11, 11-17, 18+",,,,,,,publish,i-cant-stop-having-sex
,condition,541,I can't stop moving my face or body,"Bipolar, Psychosis, Tardive Dyskinesia","Under 11, 11-17, 18+",,,,,,,publish,i-cant-stop-moving-my-face-or-body
,condition,145,I can't stop sleeping,"Bipolar, Depression, Psychosis, Addiction, Sleep","Under 11, 11-17, 18+",,Youth,,,,,publish,i-cant-stop-sleeping
,condition,402,I can't stop snapping at people!,"ADHD, Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction","Under 11, 11-17, 18+",,"Youth, Workplace",,,,,publish,i-cant-stop-snapping-people
,condition,432,I can't stop stress eating!,"Anxiety, Bipolar, Depression, Eating Disorder","Under 11, 11-17, 18+",,,,,,,publish,i-cant-stop-stress-eating
,condition,267,I can't stop thinking about bad things that could happen,"Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction, Trauma","Under 11, 11-17, 18+",,Youth,,,,,publish,i-cant-stop-thinking-about-bad-things-could-happen
,condition,430,I destroy everything!,"ADHD, Bipolar, Depression, Loneliness","Under 11, 11-17, 18+",,Youth,,,,,publish,i-destroy-everything
,condition,146,I donâ€™t want to leave my room,"Anxiety, Bipolar, Depression, Psychosis, PTSD, Trauma","Under 11, 11-17, 18+",,,,,,,publish,i-dont-want-leave-my-room
,condition,218,I don't feel like I belong anywhere,"ADHD, Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction, Trauma, Loneliness","Under 11, 11-17, 18+",,Youth,,,,,publish,i-dont-feel-i-belong-anywhere
,treatment,517,I don't like my therapist,,"Under 11, 11-17, 18+",x,,,,,"Therapy, Treatment Resistance",publish,i-dont-my-therapist
,treatment,415,I don't want to go therapy!,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,i-dont-want-go-therapy
,condition,632,"I don't want to live, but I don't want to die.","Anxiety, Depression, Bipolar, Eating Disorder, Self-Harm, Suicide","Under 11, 11-17, 18+",,Youth,,,,,publish,i-dont-want-live-i-dont-want-die
,treatment,453,I don't want to take medication!,,"Under 11, 11-17, 18+",x,,,,,"Alternative Medicine, Medical",publish,i-dont-want-take-medication
,condition,561,"I feel ""stuck"" at work",,"Under 11, 11-17, 18+",,Workplace,,,,,publish,i-feel-stuck-work
,condition,471,I feel anxious about Coronavirus,Anxiety,"Under 11, 11-17, 18+",,,,,,,publish,i-feel-anxious-about-coronavirus
,condition,633,I feel better; should I go off my meds?,"Bipolar, Psychosis, Self-Harm, Suicide","Under 11, 11-17, 18+",x,,,,,,publish,i-feel-better-should-i-go-my-meds
,condition,208,I feel guilty about being depressed,"Anxiety, Depression, Postpartum Depression","Under 11, 11-17, 18+",,,,,,,publish,i-feel-guilty-about-being-depressed
,condition,574,I feel like I can't breathe!,Anxiety,"Under 11, 11-17, 18+",,,,,,,publish,i-feel-i-cant-breathe
,condition,418,I feel out of control!,"ADHD, Bipolar, Eating Disorder, Psychosis, Addiction","Under 11, 11-17, 18+",,Youth,,,,,publish,i-feel-out-control
,condition,588,I feel unappreciated at work,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,i-feel-unappreciated-work
,condition,270,I hate my body,"Anxiety, Depression, Eating Disorder, Self-Harm","Under 11, 11-17, 18+",,Youth,,,,,publish,i-hate-my-body
,condition,417,I hate myself,"ADHD, Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, Addiction, Borderline","Under 11, 11-17, 18+",,Youth,,,,,publish,i-hate-myself
,condition,219,I have nothing to be depressed about,"Anxiety, Bipolar, Depression, Postpartum Depression, PTSD","Under 11, 11-17, 18+",,,,,,,publish,i-have-nothing-be-depressed-about
,condition,629,I have trauma from racism,"Anxiety, PTSD, Trauma","Under 11, 11-17, 18+",,BIPOC,,,,,publish,i-have-trauma-racism
,condition,365,I hear voices,"Bipolar, Psychosis","Under 11, 11-17, 18+",,,,,,,publish,i-hear-voices
,condition,468,I miss my friends.,"Anxiety, Borderline, Depression, Loneliness, Relationships","Under 11, 11-17, 18+",,Youth,,,,,publish,i-miss-my-friends
,condition,422,I miss my mania.,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,i-miss-my-mania
,condition,495,I need a break from caregiving!,,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,i-need-break-caregiving
,condition,363,I see ghosts or shadows,"Bipolar, Psychosis","Under 11, 11-17, 18+",,,,,,,publish,i-see-ghosts-or-shadows
,condition,508,I see or hear things that aren't there,"Bipolar, Psychosis","Under 11, 11-17, 18+",,,,,,,publish,i-see-or-hear-things-arent-there
,condition,421,I think about death all the time,"Anxiety, Bipolar, Depression, Psychosis, PTSD, Trauma, Self-Harm, Suicide","Under 11, 11-17, 18+",,,,,,,publish,i-think-about-death-all-time
,condition,510,I think I have schizophrenia,Psychosis,"Under 11, 11-17, 18+",,,,,,,draft,i-think-i-have-schizophrenia
,treatment,452,I think my bipolar meds are making me feel worse,Bipolar,"Under 11, 11-17, 18+",,,,,,"Medical, Treatment Resistance",publish,i-think-my-bipolar-meds-are-making-me-feel-worse
,condition,511,I think my family member is having a psychotic break,"Bipolar, Psychosis","Under 11, 11-17, 18+",,Caregiver,,,,,draft,i-think-my-family-member-having-psychotic-break
,treatment,245,I think my medication is making me feel worse,,"Under 11, 11-17, 18+",x,,,,,"Medical, Treatment Resistance",publish,i-think-my-medication-making-me-feel-worse
,condition,502,I think someone I care about has a mental illness,,"Under 11, 11-17, 18+",x,Caregiver,,,,,publish,i-think-someone-i-care-about-has-mental-illness
,condition,220,I want to die,"Anxiety, Bipolar, Depression, Eating Disorder, Addiction, Suicide","Under 11, 11-17, 18+",,,,,,,publish,i-want-die
,treatment,426,Iâ€™m afraid Iâ€™ll go to the hospital again,"Bipolar, Addiction, Psychosis, Self-Harm, Suicide","Under 11, 11-17, 18+",x,Crisis,,,,Medical,publish,im-afraid-ill-go-hospital-again
,condition,513,Iâ€™m afraid to talk to anyone about my mental health,,"Under 11, 11-17, 18+",x,,,,,,publish,im-afraid-talk-anyone-about-my-mental-health
,condition,150,Iâ€™m afraid to tell anyone I feel depressed,"Bipolar, Depression","Under 11, 11-17, 18+",,,,,,,publish,im-afraid-tell-anyone-i-feel-depressed
,condition,610,Iâ€™m finding myself without support during coronavirus,Loneliness,"Under 11, 11-17, 18+",x,,,,,,publish,im-finding-myself-without-support-during-coronavirus
,condition,152,Iâ€™m really angry at the world,"ADHD, Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, PTSD, Addiction","Under 11, 11-17, 18+",,Youth,,,,,publish,im-really-angry-world
,condition,276,"If I drink a lot, does that make me an alcoholic?",Addiction,"Under 11, 11-17, 18+",,,,,,,publish,if-i-drink-lot-does-make-me-alcoholic
,condition,315,"If my parents are alcoholics, am I going to be an alcoholic?",Addiction,"Under 11, 11-17, 18+",,Youth,,,,,publish,if-my-parents-are-alcoholics-am-i-going-be-alcoholic
,condition,209,I'm afraid I'm going to kill myself,"Anxiety, Bipolar, Depression, Psychosis, Borderline, Self-Harm, Suicide","Under 11, 11-17, 18+",,,,,,,publish,im-afraid-im-going-kill-myself
,condition,470,I'm afraid I'm going to lose my job,Anxiety,"Under 11, 11-17, 18+",,Workplace,,,,,publish,im-afraid-im-going-lose-my-job
,condition,607,I'm afraid of losing someone,"Anxiety, Loneliness, PTSD, Trauma, Relationships","Under 11, 11-17, 18+",,,,,,,publish,im-afraid-losing-someone
,condition,587,I'm afraid to ask for time off work,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,im-afraid-ask-time-work
,condition,472,I'm afraid to get sick,Anxiety,"Under 11, 11-17, 18+",,,,,,,publish,im-afraid-get-sick
,condition,595,I'm angry about the injustices I see around me,,"Under 11, 11-17, 18+",x,,,,,,publish,im-angry-about-injustices-i-see-around-me
,condition,221,I'm ashamed of the way I am,"Eating Disorder, Addiction, Self-Harm","Under 11, 11-17, 18+",x,,,,,,publish,im-ashamed-way-i-am
,condition,467,I'm feeling lonely.,"Borderline, Depression, Loneliness, Relationships","Under 11, 11-17, 18+",,Youth,,,,,publish,im-feeling-lonely
,condition,498,I'm frustrated with my significant other's mental illness,,"Under 11, 11-17, 18+",,Caregiver,,,,,draft,im-frustrated-my-significant-others-mental-illness
,condition,585,I'm nervous about a new job,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,im-nervous-about-new-job
,provider,323,In Crisis - Call Someone,"Self-Harm, Suicide","Under 11, 11-17, 18+",x,Crisis,,,Online,,publish,crisis-call-someone
,provider,321,In Crisis - Text Someone,"Self-Harm, Suicide","Under 11, 11-17, 18+",x,Crisis,,,Online,,publish,crisis-text-someone
,diy,476,In the Open Podcast,,"11-17, 18+",x,,Other,"Anger, Changing Thoughts, Confidence, Fear, Legal, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,publish,open-podcast
,treatment,254,Inositol,"Anxiety, Depression","Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,inositol
,provider,556,Insight Counseling Centers,,"11-17, 18+",x,,,,Therapy,,publish,insight-counseling-centers
,condition,621,Is all trauma the same?,"PTSD, Trauma","Under 11, 11-17, 18+",,,,,,,publish,all-trauma-same
,condition,205,Is bipolar curable?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,bipolar-curable
,condition,429,Is bipolar genetic?,Bipolar,"Under 11, 11-17, 18+",,"Parent, Youth",,,,,publish,bipolar-genetic
,condition,386,Is depression curable?,"Bipolar, Depressio","Under 11, 11-17, 18+",,,,,,,publish,depression-curable
,condition,277,Is it normal to black out when drinking?,Addiction,"Under 11, 11-17, 18+",,Youth,,,,,publish,it-normal-black-out-when-drinking
,condition,278,Is it safe to stop drinking by myself?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,it-safe-stop-drinking-myself
,condition,279,Is it safe to stop using heroin by myself?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,it-safe-stop-using-heroin-myself
,condition,410,Is mental illness curable?,,"Under 11, 11-17, 18+",x,,,,,,publish,mental-illness-curable
,condition,428,Is mental illness genetic?,,"Under 11, 11-17, 18+",x,"Parent, Youth",,,,,publish,mental-illness-genetic
,condition,224,Is mental illness physical or mental?,,"Under 11, 11-17, 18+",x,,,,,,publish,mental-illness-physical-or-mental
,condition,407,Is my child eligible for assistance if they can't work?,,"Under 11, 11-17, 18+",,Parent,,,,,publish,my-child-eligible-assistance-if-they-cant-work
,condition,623,Is my family dysfunctional?,"Relationships, Trauma","Under 11, 11-17, 18+",,"Caregiver, Parent, Youth",,,,,publish,my-family-dysfunctional
,treatment,590,Is my therapist being racist?,,"Under 11, 11-17, 18+",x,BIPOC,,,,Therapy,publish,my-therapist-being-racist
,condition,168,Is this condition forever? Will I always feel this way?,,"Under 11, 11-17, 18+",x,,,,,,publish,condition-forever-will-i-always-feel-way
,diy,465,Just Checking In on friends,"Relationships, Loneliness","Under 11, 11-17, 18+",x,"Caregiver, Youth","Document, Other","Fear, Life & Trauma, Sadness, Stress",,,publish,just-checking-friends
,treatment,255,Kava,"Anxiety, Depression","Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,kava
,connect,173,Koko,"Anxiety, Bipolar, Depression, PsychosisSelf-Harm","Under 11, 11-17, 18+",,Youth,,,,,draft,koko
,diy,376,Letter to My Mental Illness,,"Under 11, 11-17, 18+",x,,"Website, Other","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness",,,publish,letter-my-mental-illness
,connect,388,Letters to Mental Illness,,18+,x,,,,,,publish,letters-mental-illness
,provider,563,Locator tool for new postpartum depression treatment,Postpartum Depression,18+,,,,,Medical,,publish,locator-tool-new-postpartum-depression-treatment
,diy,530,Looking for Good: 4 steps to find the positives in a bad situation,,"Under 11, 11-17, 18+",x,,Document,"Anger, Changing Thoughts, Fear, Life & Trauma, Sadness, Stress",,,publish,looking-good-4-steps-find-positives-bad-situation
,diy,396,Lyf - You're Not Alone,,"Under 11, 11-17, 18+",x,,Mobile App,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,publish,lyf-youre-not-alone
,diy,188,Medication Wallet Card,"Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction, Self-Harm",18+,,Parent,"Website, Other","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, The Brain",,,draft,medication-wallet-card
,provider,359,Mental Health America of Kentucky,,"Under 11, 11-17, 18+",x,,,,"Community Support, Online",,publish,mental-health-america-kentucky
,provider,451,Mental Health America of Lancaster (PA) County,,"Under 11, 11-17, 18+",x,,,,"Community Support, Groups, Online, Peer-Run",,draft,mental-health-america-lancaster-pa-county
,provider,553,Mental Health America of Lancaster County (Pennsylvania),,"Under 11, 11-17, 18+",x,,,,"Community Support, Groups, Online, Peer-Run",,publish,mental-health-america-lancaster-county-pennsylvania
,provider,391,Mental Health America of North Central Indiana,,"Under 11, 11-17, 18+",x,,,,"Community Support, Groups, Online, Peer-Run",,publish,mental-health-america-north-central-indiana
,connect,172,Mental Health America on Facebook,,"Under 11, 11-17, 18+",x,,,,,,publish,mental-health-america-facebook
,connect,171,Mental Health America on Inspire,,"Under 11, 11-17, 18+",x,,,,,,publish,mental-health-america-inspire
,provider,554,"Mental Health Association in Forsyth County -- Information, Referrals, Access to Services",,18+,x,,,,"Community Support, Groups",,publish,mental-health-association-forsyth-county-information-referrals-access-services
,provider,478,Mental Health Association of Atlantic County,,"11-17, 18+",x,,,,"Community Support, Groups, Online, Peer-Run",,publish,mental-health-association-atlantic-county
,diy,236,Mental Health Crisis Plan,"Bipolar, Addiction, Psychosis, Self-Harm, Suicide","11-17, 18+",x,Crisis,Document,"Anger, Fear, Life & Trauma, Sadness, Stress",,,publish,mental-health-crisis-plan
,provider,342,Mental Health Minnesota Mental Health Helpline,,"11-17, 18+",x,,,,"Community Support, Online, Peer-Run",,publish,mental-health-minnesota-mental-health-helpline
,provider,343,MHA in Orange County Helpline,Self-Harm,"Under 11, 11-17, 18+",x,,,,Community Support,,draft,mha-orange-county-helpline
,provider,339,MHAFC Mental Health Ombudsman,Self-Harm,"Under 11, 11-17, 18+",x,,,,Community Support,,draft,mhafc-mental-health-ombudsman
,provider,345,MHA-WI Strong Families Healthy Homes (SFHH),"Anxiety, Bipolar, Depression, PTSD","Under 11, 11-17, 18+",,Workplace,,,Community Support,,draft,mha-wi-strong-families-healthy-homes-sfhh
,provider,346,Minnesota Crisis Phone Line Search,Suicide,"Under 11, 11-17, 18+",x,Crisis,,,Online,,draft,minnesota-crisis-phone-line-search
,provider,347,Minnesota Warmline,,"Under 11, 11-17, 18+",x,Crisis,,,Peer-Run,,draft,minnesota-warmline
,treatment,256,Monoamine Oxidase Inhibitors (MAOI'S),"Anxiety, Bipolar, Depression","Under 11, 11-17, 18+",,,,,,Medical,publish,monoamine-oxidase-inhibitors-maois
,diy,375,My Brain is Freaking Out,"Anxiety, Bipolar, PTSD, Addiction","Under 11, 11-17, 18+",x,,"Video, Other","Anger, Changing Thoughts, Confidence, Stress, The Brain",,,publish,my-brain-freaking-out
,condition,493,My child's behavior is scaring me,"Bipolar, Eating Disorder, Psychosis, Addiction, Self-Harm, Suicide","Under 11, 11-17, 18+",,Parent,,,,,draft,my-childs-behavior-scaring-me
,condition,611,My coping skills aren't working anymore,,"Under 11, 11-17, 18+",x,,,,,,publish,my-coping-skills-arent-working-anymore
,diy,189,My Crisis Plan Worksheet,"Bipolar, Addiction, Psychosis, Self-Harm, Suicide","11-17, 18+",x,Crisis,"Website, Other","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, The Brain",,,draft,my-crisis-plan-worksheet
,condition,364,My depression won't go away,Depression,"Under 11, 11-17, 18+",,,,,,,publish,my-depression-wont-go-away
,condition,483,My family member refuses to go to the hospital,"Bipolar, Psychosis, Self-Harm, Suicide","Under 11, 11-17, 18+",,Caregiver,,,,,publish,my-family-member-refuses-go-hospital
,condition,284,My family members are abusive,"Relationships, Trauma, PTSD, Abuse","Under 11, 11-17, 18+",x,"Youth, LGBTQ+",,,,,publish,my-family-members-are-abusive
,condition,280,My friends drink as much as I do. Are they alcoholics too?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,my-friends-drink-much-i-do-are-they-alcoholics-too
,condition,433,My life is over,"Anxiety, Bipolar, Depression, Addiction, PTSD, Trauma, Relationships, Suicide","Under 11, 11-17, 18+",,Youth,,,,,publish,my-life-over
,treatment,499,My loved one doesnâ€™t want to take meds,,"Under 11, 11-17, 18+",x,Caregiver,,,,Medical,publish,my-loved-one-doesnt-want-take-meds
,condition,542,My loved one has started moving strangely,Tardive Dyskinesia,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,my-loved-one-has-started-moving-strangely
,condition,501,My loved one wonâ€™t talk to me about their mental health,,"Under 11, 11-17, 18+",x,Caregiver,,,,,publish,my-loved-one-wont-talk-me-about-their-mental-health
,condition,492,My loved one's behavior is scaring me,"Bipolar, Eating Disorder, Psychosis, Addiction, Self-Harm, Suicide","Under 11, 11-17, 18+",,Caregiver,,,,,publish,my-loved-ones-behavior-scaring-me
,condition,485,My mind is racing!,"ADHD, Anxiety, Bipolar, Psychosis, Addiction, Sleep, OCD","Under 11, 11-17, 18+",,,,,,,publish,my-mind-racing
,diy,190,My Social Starting Point,"Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction","Under 11, 11-17, 18+",,,Other,"Changing Thoughts, Confidence, Sadness",,,draft,my-social-starting-point
,provider,390,NAMI,,"11-17, 18+",x,"Caregiver, Parent",,,"Community Support, Groups, Online, Peer-Run",,publish,nami
,provider,322,Narcotics Anonymous,Addiction,"11-17, 18+",,,,,"Community Support, Groups, Peer-Run",,publish,narcotics-anonymous
,provider,560,National Youth Advocate Program (NYAP),"Addiction, Trauma, Abuse","Under 11, 11-17, 18+",x,"Parent, Youth",,,"Community Support, Groups, Online, Therapy",,publish,national-youth-advocate-program-nyap
,connect,449,Need to Talk to Someone? (Warmlines),,"Under 11, 11-17, 18+",x,Crisis,,,,,publish,need-talk-someone-warmlines
,provider,350,NJ Connect for Recovery,"Anxiety, Bipolar, Depression, Eating Disorder, PTSD, Addiction","Under 11, 11-17, 18+",,Parent,,,"Community Support, Peer-Run",,draft,nj-connect-recovery
,provider,349,NJ Mental Health Cares,,"11-17, 18+",x,,,,"Community Support, Peer-Run",,publish,nj-mental-health-cares
,condition,222,No one believes me when I ask for help or say I'm struggling,,"Under 11, 11-17, 18+",x,,,,,,publish,no-one-believes-me-when-i-ask-help-or-say-im-struggling
,condition,586,Nobody likes me,"Anxiety, Bipolar, Borderline, Depression, Eating Disorder, Loneliness, Relationships, Self-Harm, Suicide","Under 11, 11-17, 18+",,Youth,,,,,publish,nobody-likes-me
,condition,166,Nothing is helping my depression,Depression,"Under 11, 11-17, 18+",,,,,,,publish,nothing-helping-my-depression
,condition,401,Now what?,,"Under 11, 11-17, 18+",x,,,,,,publish,now-what
,connect,539,Osmind Online Community,"Anxiety, Bipolar, Depression, Loneliness, PTSD","11-17, 18+",,,,,,,publish,osmind-online-community
,provider,318,Overeaters Anonymous,Eating Disorder,"11-17, 18+",,,,,"Community Support, Online, Peer-Run",,publish,overeaters-anonymous
,connect,356,Participate in research for mental health equality,,18-24,x,,,,,,draft,participate-research-mental-health-equality
,provider,331,Partnership for Prescription Assistance,,"11-17, 18+",x,,,,"Online, Medical",,publish,partnership-prescription-assistance
,provider,348,Peer Led Support Groups for Recovery & Wellness,,"11-17, 18+",x,,,,"Groups, Peer-Run",,draft,peer-led-support-groups-recovery-wellness
,provider,194,Peer Place Support Center,,"11-17, 18+",x,,,,"Community Support, Peer-Run",,publish,peer-place-support-center
,diy,395,"Photograph Beauty, Feel Hopeful","Anxiety, Depression, PTSD","Under 11, 11-17, 18+",x,,"Mobile App, Other","Changing Thoughts, Life & Trauma, Sadness, Stress, The Brain",,,publish,photograph-beauty-feel-hopeful
,provider,620,Prairie Health,"Anxiety, Depression, Eating Disorder, Loneliness, Postpartum Depression, Sleep",18+,,,,,"Medical, Online",,publish,prairie-health
,connect,434,Q Chat Space,"Anxiety, Depression","11-17, 18-24",,"Youth, LGBTQ+",,,,,publish,q-chat-space
,diy,435,Q Chat Space,"Anxiety, Depression","11-17, 18-24",,"Youth, LGBTQ+","Website, Other","Changing Thoughts, Confidence, Sadness, Stress",,,publish,q-chat-space-0
,diy,202,Quarterly Goal Accomplishment Plan,,"11-17, 18-24",x,,Other,"Changing Thoughts, Confidence",,,draft,quarterly-goal-accomplishment-plan
,diy,562,Questions to help QTBIPOC find affirming mental health providers,,"Under 11, 11-17, 18+",x,"LGBTQ+, BIPOC",Document,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Stress",,,publish,questions-help-qtbipoc-find-affirming-mental-health-providers
,connect,355,Reachout- My Support Network,,"11-17, 18+",x,,,,,,draft,reachout-my-support-network
,provider,334,Recovery International,,"Under 11, 11-17, 18+",x,,,,"Community Support, Groups, Online, Peer-Run",,publish,recovery-international
,provider,338,"Residential Care, Inc at MHA South Central Kansas","Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction",18+,,,,,Community Support,,publish,residential-care-inc-mha-south-central-kansas
,treatment,257,Rhodiola Rosea,Depression,"Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,rhodiola-rosea
,provider,324,S-Anon International Family Groups,"Addiction, Relationships",18+,,Caregiver,,,"Community Support, Groups, Peer-Run",,publish,s-anon-international-family-groups
,treatment,192,Selective Serotonin Reuptake Inhibitors (SSRIs),"Anxiety, Depression, Eating Disorder, Postpartum Depression, PTSD, OCD","Under 11, 11-17, 18+",,,,,,Medical,publish,selective-serotonin-reuptake-inhibitors-ssris
,diy,231,Self Advocacy Wallet Card,"Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, PTSD, Addiction","11-17, 18+",,"Parent, Workplace",Other,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,draft,self-advocacy-wallet-card
,diy,547,Ser dueÃ±o de sus sentimientos,"ADHD, PTSD, Addiction, Eating Disorder, Depression, Anxiety, Trauma","Under 11, 11-17, 18+",x,Español/Spanish,Document,"Anger, Changing Thoughts, Confidence, Life & Trauma, Sadness, Stress",,,publish,ser-dueno-de-sus-sentimientos
,treatment,264,Serotonin and Norepinephrine Reuptake Inhibitors (SNRIs),"Anxiety, Depression, Eating Disorder, Postpartum Depression, PTSD, OCD","Under 11, 11-17, 18+",,,,,,Medical,publish,serotonin-and-norepinephrine-reuptake-inhibitors-snris
,condition,408,Should I kick out my adult child?,,"Under 11, 11-17, 18+",,Parent,,,,,publish,should-i-kick-out-my-adult-child
,condition,384,Should I tell someone I have a mental Illness,,"Under 11, 11-17, 18+",x,,,,,,publish,should-i-tell-someone-i-have-mental-illness
,diy,232,Social Assessment Evaluation,"Bipolar, Psychosis","Under 11, 11-17, 18+",,,Other,"Changing Thoughts, Confidence, Fear, Sadness",,,draft,social-assessment-evaluation
,diy,233,Social Goal Establishment,"Anxiety, Depression, Psychosis, PTSD","Under 11, 11-17, 18+",,,Other,"Changing Thoughts, Confidence, Fear, Sadness",,,draft,social-goal-establishment
,condition,589,Someone at work is gaslighting me,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,someone-work-gaslighting-me
,condition,475,Someone I care about is harming themselves,Self-Harm,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,someone-i-care-about-harming-themselves
,condition,225,Someone I care about killed themselves,"Depression, PTSD, Addiction, Trauma, Loneliness, Suicide","Under 11, 11-17, 18+",,"Caregiver, Youth",,,,,publish,someone-i-care-about-killed-themselves
,condition,482,Someone I love is in jail,"Trauma, Loneliness, Addiction","Under 11, 11-17, 18+",,Caregiver,,,,,publish,someone-i-love-jail
,provider,474,Spectrum Healthcare,,"11-17, 18+",x,,,,"Community Support, Groups, Therapy",,publish,spectrum-healthcare
,treatment,259,St. John's Wort,Depression,"Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,st-johns-wort
,diy,234,Steps to Wellness Toolkit,,"Under 11, 11-17, 18+",x,,Other,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, The Brain",,,draft,steps-wellness-toolkit
,treatment,265,Stimulant medications,"ADHD, Sleep","Under 11, 11-17, 18+",,,,,,Medical,publish,stimulant-medications
,diy,235,Stopping Stupid Thoughts,"Anxiety, Depression, Eating Disorder, Addiction","11-17, 18+",x,Youth,Other,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress",,,publish,stopping-stupid-thoughts
,connect,174,Strong Witness,"Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, PTSD, Addiction, Self-Harm","Under 11, 11-17, 18+",,,,,,,draft,strong-witness
,provider,341,Su Familia: The National Hispanic Family Health Helpline,,"Under 11, 11-17, 18+",x,Español/Spanish,,,Community Support,,draft,su-familia-national-hispanic-family-health-helpline
,provider,605,Suicide Attempt Survivors Support Group (for ages 18+),Suicide,18+,,,,,"Community Support, Groups, Online, Peer-Run",,publish,suicide-attempt-survivors-support-group-ages-18
,treatment,301,Support Groups,,"Under 11, 11-17, 18+",x,,,,,"Social Support, Therapy",publish,support-groups
,connect,531,Supportiv - The Peer Support Network,,18+,x,,,,,,publish,supportiv-peer-support-network
,provider,344,Survivors Helping Survivors,"Anxiety, Bipolar, Depression, PTSD","11-17, 18+",,,,,Community Support,,draft,survivors-helping-survivors
,provider,327,Survivors of Suicide Support Groups,Suicide,"11-17, 18+",,Caregiver,,,"Community Support, Groups, Online, Peer-Run",,publish,survivors-suicide-support-groups
,condition,481,Taking care of someone is too stressful!,,"Under 11, 11-17, 18+",x,Caregiver,,,,,publish,taking-care-someone-too-stressful
,provider,594,Tempest,Addiction,18+,,,,,"Community Support, Groups, Online, Peer-Run",,publish,tempest
,provider,340,Text 4 Teens,"Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, PTSD, Addiction, Self-Harm","11-17,",,Youth,,,Community Support,,draft,text-4-teens
,provider,361,The Alliance for Eating Disorders Awareness,Eating Disorder,"11-17, 18+",,,,,Online,,publish,alliance-eating-disorders-awareness
,connect,175,The Invisible Illnesses - Share Your Story,,"Under 11, 11-17, 18+",x,,,,,,draft,invisible-illnesses-share-your-story
